,start,length,peak,mean_tmax,year
94,2012-06-24,4,39.890525000000025,38.88525437500003,2012
95,2012-08-09,3,40.14449000000003,39.430573333333356,2012
96,2013-04-16,4,28.144462500000003,27.571259375000018,2013
97,2013-07-07,4,39.51223000000002,38.75688250000002,2013
98,2013-08-18,3,39.32348000000002,38.69914250000002,2013
99,2013-09-20,4,32.87013750000001,32.433561875000024,2013
100,2013-11-11,4,23.415547500000017,22.803376875000016,2013
101,2014-04-06,5,28.51180250000003,27.077251000000025,2014
102,2014-04-30,3,31.277125000000026,30.31004083333336,2014
103,2014-05-04,4,32.06127500000002,31.114651875000018,2014
104,2014-05-10,4,33.74334000000002,32.83097875000002,2014
105,2014-06-12,3,37.701475000000016,36.880649166666686,2014
106,2014-10-19,7,30.376305000000016,28.22126357142859,2014
107,2014-10-29,3,27.51583250000003,26.805533333333358,2014
108,2014-11-20,5,22.483605000000026,21.38169250000002,2014
109,2015-03-28,6,29.487332500000022,27.71724000000002,2015
110,2015-05-09,6,37.77480500000003,34.791295416666685,2015
111,2015-06-05,3,35.23720500000002,34.911185833333356,2015
112,2015-06-26,3,40.88217000000003,39.26469416666669,2015
113,2015-07-05,3,39.004300000000015,38.39098666666669,2015
114,2015-11-06,3,24.93878000000001,24.261186666666678,2015
115,2015-12-03,3,19.358170000000015,19.145528333333356,2015
116,2015-12-09,4,20.22634000000002,19.388689375000027,2015
117,2015-12-14,3,18.810967500000018,18.546717500000014,2015
118,2016-01-22,3,18.410605000000018,17.85685333333335,2016
119,2016-07-24,3,39.538752500000015,38.50005250000002,2016
120,2016-09-02,6,40.55458250000002,37.69661708333336,2016
121,2016-10-26,3,28.505852500000017,27.78621750000002,2016
122,2016-12-04,3,18.842797500000017,18.632645000000025,2016
123,2017-03-07,5,24.79436250000002,23.670836500000025,2017
124,2017-04-10,3,28.337580000000017,27.66199916666669,2017
125,2017-04-16,4,31.42949500000003,28.809276250000025,2017
