start,length,peak,mean_tmax,year
2040-10-13,6,30.81896610029964,29.426524677058485,2040
2041-03-22,6,27.94312224822458,25.671494349845318,2041
2041-05-16,6,36.51624745207016,34.447290219224904,2041
2041-05-31,4,35.65084902079428,34.74652143030055,2041
2041-09-13,9,34.49099042583704,33.57186755084984,2041
2042-01-19,4,16.86579587242441,16.507599703920373,2042
2042-03-02,4,23.821996036771505,22.89188418405,2042
2042-04-24,3,29.064044076235785,28.206528618910657,2042
2042-09-06,16,37.984051009057595,35.42862465607191,2042
2042-10-16,4,28.04073798458128,27.837695217914405,2042
2042-10-29,14,30.12174250000001,26.38493982541608,2042
2042-11-13,8,24.145526091716754,23.18557475442323,2042
2042-12-08,5,19.820560331843225,18.987841698228785,2042
2042-12-21,6,20.92899867066753,19.54388617422661,2042
2043-01-07,5,17.943914004251948,17.29455346012566,2043
2043-01-18,3,17.228009566051977,16.756469412917,2043
2043-01-22,6,18.04930468199283,16.992370786099045,2043
2043-03-26,8,28.03864741281957,25.96937838005368,2043
2043-04-06,3,27.357034948770774,26.838212878361457,2043
2043-05-21,4,34.626924390936104,33.889530285457184,2043
2043-05-26,5,35.65997951360927,34.51137832139726,2043
2043-06-14,6,38.228078514960615,37.4376569673154,2043
2043-07-04,3,38.329251400910486,38.18510390486702,2043
2043-07-20,9,44.14242500000003,41.3756073086196,2043
2043-08-24,3,37.002212988353584,36.92063795428067,2043
2043-09-08,3,34.91117983558251,34.703332093670184,2043
2043-09-14,3,34.40996634275665,33.908216118055286,2043
2043-09-24,3,33.339487622649806,32.52166901114937,2043
2043-10-27,10,29.355977075957565,26.808861004487426,2043
2043-11-12,5,23.46474930375287,22.983606317510322,2043
2043-11-18,7,22.945173142278513,22.21289121437503,2043
2043-11-26,4,21.055927853270735,19.88484427577768,2043
2043-12-01,18,21.95932000000006,19.651680999688736,2043
2044-01-08,4,18.651830759906872,16.951134605368928,2044
2044-01-15,4,17.993875022462298,17.19851007742828,2044
2044-01-20,6,21.122432500000034,18.38967582918473,2044
2044-02-07,5,20.670861003746122,19.767621763128943,2044
2044-02-18,3,20.420339243045703,20.046256021895516,2044
2044-03-14,5,25.276552935863354,24.696416971846777,2044
2044-04-16,3,28.575274467548066,27.708063743832778,2044
2044-04-24,3,28.94775797773709,28.409029788254045,2044
2044-05-02,5,32.139864538625986,31.074507715849773,2044
2044-05-24,4,34.678051190998815,33.86796760015021,2044
2044-06-06,4,35.778797452122596,35.419592839211795,2044
2044-06-30,5,42.94004250000005,40.0553725763057,2044
2044-07-17,4,40.068564040616884,39.23508698006279,2044
2044-08-02,4,40.561015243383515,39.41033541291681,2044
2044-09-27,9,33.43936250000006,32.12228307852291,2044
2044-11-06,3,24.455887550352948,24.1181035252264,2044
2044-11-10,3,22.569540343743782,22.497880533511818,2044
2044-11-14,14,22.40379571040776,21.20928725519813,2044
2044-11-29,11,22.89522924093532,20.63192402485439,2044
2044-12-20,8,19.032472917644778,18.543211008160956,2044
2045-01-09,3,18.04798500684488,17.20414705567308,2045
2045-01-20,4,16.880696305629247,16.590232736701346,2045
2045-02-28,4,22.998575959081872,22.448380925874634,2045
2045-04-22,3,29.281347296993555,28.422816724866948,2045
2045-05-25,6,36.34179766465316,35.01275318957639,2045
2045-07-24,6,39.879834811452824,38.991563111043384,2045
2045-08-03,4,39.68054650428008,39.43677327187909,2045
2045-09-03,9,36.52734054537105,36.10205439636425,2045
2045-11-05,5,28.56011500000001,26.46828189678568,2045
2045-11-15,11,23.129547371355283,22.22689061640359,2045
2045-12-03,9,20.13658715201289,19.195902032047382,2045
