valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2031-06-01,2031,6,73.3615575511802,-0.3604064178496093,66.99756991288048,-0.5387809239304545
2031-07-01,2031,7,38.275475512966466,0.14746090893610628,25.03756101638607,-0.27866120426134916
2031-08-01,2031,8,20.61985948269848,0.8948911621309017,8.519709511721214,0.054407212673393775
2031-09-01,2031,9,10.634021647419093,-0.9036214793265338,10.204076641007632,-0.9371427245456038
2031-10-01,2031,10,91.61341777920263,0.010365979059542741,225.4993642884046,1.7741948045221327
2031-11-01,2031,11,147.6020152733081,-0.024080236258567495,334.38747444471943,1.804478821436854
2031-12-01,2031,12,196.6467690839419,0.0720121552413822,453.38310742535685,1.9071342774567392
2032-01-01,2032,1,160.13670670946706,-0.009931393740841633,337.71078783295025,1.1182478795098532
2032-02-01,2032,2,98.51443301532625,-0.45798916191009986,227.9149152254705,0.5906826717386138
2032-03-01,2032,3,135.73237796282478,0.00591565745067137,226.33698421884208,0.8898251375038826
2032-04-01,2032,4,116.43541251604597,-0.46777181503929227,154.30243613503967,0.14866708455915875
2032-05-01,2032,5,127.71646131180619,-0.11841376792431782,166.11285952347149,0.5516554138854479
2032-06-01,2032,6,60.766675015243266,-0.7250819913183697,49.17042837780825,-1.1105976208713462
2032-07-01,2032,7,36.49791651009163,0.09685193743532411,21.67236938715811,-0.4115411882271456
2032-08-01,2032,8,21.995933152408536,0.9669684968805007,3.4265238102439817,-0.6028552904842515
2032-09-01,2032,9,3.0958975527574735,-1.7772368901341176,3.1915801855397263,-1.7583751133096328
2032-10-01,2032,10,5.831399175149377,-3.2066252712199677,12.360751724530333,-2.5281709221904496
2032-11-01,2032,11,16.59412348890129,-3.1661228154389653,24.77282677295415,-2.712628825665723
2032-12-01,2032,12,29.951126353779447,-2.6634020243020475,59.416111509827104,-1.8253312626302316
2033-01-01,2033,1,27.054104987045342,-1.8606076599206502,51.23386708090495,-1.2940851070465174
2033-02-01,2033,2,29.86290607257341,-1.570766025477563,67.10535185890518,-0.8552075106237728
